,Titulo,Ranking,Duracion,Director,Recaudacion,Year
0,Bad Samaritan,6.4,110,Dean Devlin,3435047,2018
1,Blockers,6.2,102,Kay Cannon,59839515,2018
2,Avengers: Infinity War,8.5,149,Anthony Russo,678815482,2018
3,Rampage,6.1,107,Brad Peyton,101028233,2018
4,I Feel Pretty,5.5,110,Abby Kohn,48795601,2018
5,Isle of Dogs,7.9,101,Wes Anderson,32015231,2018
6,A Quiet Place,7.5,90,John Krasinski,188024361,2018
7,"Love, Simon",7.6,110,Greg Berlanti,40826341,2018
8,Jumanji: Welcome to the Jungle,6.9,119,Jake Kasdan,404515480,2017
9,Black Panther,7.3,134,Ryan Coogler,700059566,2018
10,Insidious: The Last Key,5.7,103,Adam Robitel,67745330,2018
11,The Greatest Showman,7.6,105,Michael Gracey,174340174,2017
12,Star Wars: Episode VIII - The Last Jedi,7.0,152,Rian Johnson,620181382,2017
13,The Miracle Season,6.5,101,Sean McNamara,10225770,2018
14,Blumhouse's Truth or Dare,5.1,100,Jeff Wadlow,41411015,2018
15,Super Troopers 2,6.1,99,Jay Chandrasekhar,30617396,2018
16,Life of the Party,5.6,105,Ben Falcone,52856061,2018
17,Show Dogs,3.6,92,Raja Gosnell,17744685,2018
18,Deadpool 2,7.7,119,David Leitch,324591735,2018
19,Solo: A Star Wars Story,6.9,135,Ron Howard,213767512,2018
20,Action Point,5.1,85,Tim Kirkby,5059608,2018
21,Jurassic World: Fallen Kingdom,6.2,128,J.A. Bayona,417719760,2018
22,Incredibles 2,7.6,118,Brad Bird,608581744,2018
23,The First Purge,5.1,98,Gerard McMurray,69488745,2018
24,Sorry to Bother You,6.9,112,Boots Riley,17493096,2018
25,Unfriended: Dark Web,5.9,92,Stephen Susco,8783985,2018
26,Death of a Nation,4.6,108,Dinesh D'Souza,5885881,2018
27,Christopher Robin,7.3,104,Marc Forster,99215042,2018
28,The Happytime Murders,5.4,91,Brian Henson,20706452,2018
29,Searching,7.6,102,Aneesh Chaganty,26020957,2018
30,A Simple Favor,6.8,117,Paul Feig,53548586,2018
31,A Star Is Born,7.7,136,Bradley Cooper,215288866,2018
32,BlacKkKlansman,7.5,135,Spike Lee,48686605,2018
33,The Hate U Give,7.4,133,George Tillman Jr.,29719483,2018
34,Halloween,6.6,106,David Gordon Green,159342015,2018
35,Smallfoot,6.6,96,Karey Kirkpatrick,83240103,2018
36,Beautiful Boy,7.3,120,Felix van Groeningen,7649973,2018
37,Bohemian Rhapsody,8.0,134,Bryan Singer,216428042,2018
38,Fantastic Beasts: The Crimes of Grindelwald,6.6,134,David Yates,159555901,2018
39,Green Book,8.2,130,Peter Farrelly,85080171,2018
40,Spider-Man: Into the Spider-Verse,8.4,117,Bob Persichetti,190241310,2018
41,Aquaman,7.0,143,James Wan,335061807,2018
42,Black Mirror: Bandersnatch,7.2,90,David Slade,30573626,2018
43,Holmes & Watson,3.8,90,Etan Cohen,10763520,2018
44,Welcome to Marwen,6.1,116,Robert Zemeckis,201091711,2018
45,Ralph Breaks the Internet,7.1,112,Phil Johnston,39282227,2018
46,Bird Box,6.6,124,Susanne Bier,34366783,2018
47,Second Act,5.8,103,Peter Segal,171958438,2018
48,The Favourite,7.6,119,Yorgos Lanthimos,17541090,2018
49,Mary Poppins Returns,6.7,130,Rob Marshall,2474044,2018
50,Free Solo,8.2,100,Jimmy Chin,46083,2018
51,The Cloverfield Paradox,5.5,102,Julius Onah,42469946,2018
52,Suspiria,6.8,152,Luca Guadagnino,17956913,2018
53,Under the Silver Lake,6.5,139,David Robert Mitchell,44069456,2018
54,Spider-Man: Into the Spider-Verse,8.4,117,Bob Persichetti,190241310,2018
55,Braveheart,8.3,178,Mel Gibson,75600000,1995
56,The Tiger and the Snow,7.1,110,Roberto Benigni,9047,2005
57,Robot Chicken: Star Wars Episode II,8.1,24,Seth Green,0,2008
58,Stop Making Sense,8.6,88,Jonathan Demme,5020659,1984
59,Pompeii: The Last Day,7.1,120,Peter Nicholson,0,2003
60,Manos: The Hands of Fate,1.9,70,Harold P. Warren,0,1966
61,Tigers at the Top,6.3,86,Fu But,0,1975
62,Us,6.9,116,Jordan Peele,175005930,2019
63,Mitchell,2.5,97,Andrew V. McLaglen,0,1975
64,Feng shi guai tu,5.7,87,Han-Hsiang Yu,228477,1979
65,Hellboy,5.2,120,Neil Marshall,21903748,2019
66,Captain Marvel,6.9,123,Anna Boden,426829839,2019
67,Octaman,3.5,79,Harry Essex,280710,1971
68,RiffTrax LIVE! Octaman,8.1,120,Michael J. Nelson,0,2019
69,Nausicaä of the Valley of the Wind,8.1,117,Hayao Miyazaki,495770,1984
70,Princess Mononoke,8.4,134,Hayao Miyazaki,2375308,1997
71,Black Dynamite,7.4,84,Scott Sanders,228447,2009
72,Avengers: Endgame,8.5,181,Anthony Russo,858373000,2019
73,Spirited Away,8.6,125,Hayao Miyazaki,10055859,2001
74,Porco Rosso,7.8,94,Hayao Miyazaki,0,1992
75,The Cat Returns,7.3,75,Hiroyuki Morita,0,2002
76,Drunken Tai Chi,6.5,91,Woo-Ping Yuen,0,1984
77,John Wick: Chapter 3 - Parabellum,7.5,131,Chad Stahelski,171015687,2019
78,Pokémon Detective Pikachu,6.6,104,Rob Letterman,144105346,2019
79,Aladdin,7.0,128,Guy Ritchie,354873567,2019
80,Aladdin,8.0,90,Ron Clements,217350219,1992
81,Chopped,7.5,60,Ted Allen,0,2007
82,Cutthroat Kitchen,7.2,60,Alton Brown,0,2013
83,Godzilla: King of the Monsters,6.1,132,Michael Dougherty,110495191,2019
84,Rocketman,7.3,121,Dexter Fletcher,96368160,2019
85,Toy Story 4,7.9,100,Josh Cooley,433033071,2019
86,One Punch Man,8.8,24,Makoto Furukawa,0,2015
87,Team America: World Police,7.2,98,Trey Parker,32774834,2004
88,Midsommar,7.2,147,Ari Aster,27331977,2019
89,Ask Dr. Ruth,7.6,100,Ryan White,297195,2019
90,House,7.4,88,Nobuhiko Ôbayashi,0,1977
91,Once Upon a Time... in Hollywood,7.7,161,Quentin Tarantino,135371627,2019
92,The Great Dictator,8.4,125,Charles Chaplin,0,1940
